Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rdp_1,Rgood,Rair,Rrange,Rthrow,RF/9,RF/G,Season
112,Tyler Saladino\saladty01,27,CHW,AL,13,12,12,107.2,51,19,32,0,7,1,2,21,2,0,0,0,0,0,0,0,0,1,4.26,3.92,2017
113,Adrian Sanchez\sanchad01,26,WSN,NL,8,4,1,35,29,10,18,1,4,0.966,2,69,1,1,2,69,2,0,0,0,1,1,7.2,3.5,2017
114,Yolmer Sanchez\sanchca01,25,CHW,AL,4,3,3,31,16,6,10,0,3,1,0,-4,0,0,1,39,1,0,0,0,1,0,4.65,4,2017
115,Luis Sardinas\sardilu01,24,SDP,NL,5,3,3,31.2,25,8,15,2,5,0.92,1,27,1,0,0,0,0,0,0,0,0,0,6.54,4.6,2017
116,Jonathan Schoop\schoojo01,25,BAL,AL,5,2,1,19,15,1,14,0,3,1,1,63,1,0,0,0,0,0,0,0,-1,0,7.11,3,2017
117,Corey Seager\seageco01,23,LAD,NL,138,134,118,1162,520,185,324,11,77,0.979,11,11,9,2,7,7,8,2,-3,2,2,4,3.94,3.69,2017
118,Jean Segura\segurje01,27,SEA,AL,124,124,115,1084,451,136,298,17,61,0.962,-3,-3,-2,-1,1,1,0,2,-1,-1,-8,8,3.6,3.5,2017
119,Marcus Semien\semiema01,26,OAK,AL,85,85,83,747,375,125,241,9,45,0.976,3,4,4,-1,-2,-3,1,-2,-1,-2,8,-5,4.41,4.31,2017
120,Andrelton Simmons\simmoan01,27,LAA,AL,158,158,144,1369.2,685,235,436,14,99,0.98,15,13,10,5,41,36,35,3,3,1,31,3,4.41,4.25,2017
121,Tyler Smith\smithty01,25,SEA,AL,6,4,4,40,22,5,17,0,4,1,2,63,2,0,2,60,2,0,0,0,1,1,4.95,3.67,2017
122,Eric Sogard\sogarer01,31,MIL,NL,26,20,6,159.2,83,29,54,0,9,1,-1,-8,0,-1,3,23,3,0,0,1,1,1,4.68,3.19,2017
123,Yangervis Solarte\solarya01,29,SDP,NL,28,24,13,199,91,32,55,4,18,0.956,-3,-17,-4,1,-1,-6,-2,1,0,0,-1,-1,3.93,3.11,2017
124,Trevor Story\storytr01,24,COL,NL,142,133,125,1185.1,610,191,408,11,101,0.982,9,9,6,3,12,12,8,1,3,1,10,-3,4.55,4.22,2017
125,Dee Strange-Gordon\gordode01,29,MIA,NL,3,2,1,16.1,8,1,7,0,1,1,-1,-81,-1,0,0,0,0,0,0,0,0,0,4.41,2.67,2017
126,Eugenio Suarez\suareeu01,25,CIN,NL,1,0,0,3.1,2,0,2,0,0,1,0,144,0,NA,0,0,0,0,0,0,0,0,5.4,2,2017
127,Dansby Swanson\swansda01,23,ATL,NL,142,135,132,1202,572,195,357,20,83,0.965,-8,-8,-8,0,-4,-4,-5,2,-1,4,-10,1,4.13,3.89,2017
128,Chris Taylor\tayloch03,26,LAD,NL,14,10,8,96.1,51,11,37,3,8,0.941,2,24,2,0,-2,-25,-1,0,-1,0,-2,1,4.48,3.43,2017
129,Ruben Tejada\tejadru01,27,BAL,AL,36,29,24,262,116,37,77,2,18,0.983,-3,-15,-3,0,-1,-5,-1,-1,1,0,-1,0,3.92,3.17,2017
130,Kelby Tomlinson\tomlike01,27,SFG,NL,11,8,5,69.1,24,5,18,1,4,0.958,-1,-19,-1,0,-1,-17,-1,0,0,0,1,-2,2.99,2.09,2017
131,Ramon Torres\torrera01,24,KCR,AL,3,0,0,8,7,1,6,0,1,1,1,75,1,0,-1,-150,-1,0,0,0,0,0,7.88,2.33,2017
132,Ronald Torreyes\torrero01,24,NYY,AL,36,26,16,221,91,28,62,1,12,0.989,-1,-5,0,-1,-2,-11,0,-1,-1,1,0,-1,3.67,2.5,2017
133,Troy Tulowitzki\tulowtr01,32,TOR,AL,64,64,56,562,264,68,188,8,41,0.97,5,12,5,0,7,15,6,1,0,0,6,1,4.1,4,2017
134,Trea Turner\turnetr01,24,WSN,NL,95,95,94,846.2,376,134,234,8,57,0.979,-9,-13,-8,-1,2,3,2,-1,1,0,8,-6,3.91,3.87,2017
135,Richard Urena\urenari01,21,TOR,AL,20,16,15,160.2,78,34,42,2,12,0.974,-3,-19,-3,0,-5,-37,-5,0,0,0,-4,0,4.26,3.8,2017
136,Gio Urshela\urshegi01,25,CLE,AL,5,1,1,20,10,2,8,0,2,1,0,24,0,0,1,60,1,0,0,0,1,0,4.5,2,2017
137,Pat Valaika\valaipa01,24,COL,NL,22,16,10,133.2,61,13,47,1,10,0.984,3,22,3,0,0,0,0,0,0,-1,0,1,4.04,2.73,2017
138,Zach Vincej\vinceza01,26,CIN,NL,3,1,1,15,6,2,4,0,0,1,1,72,1,NA,0,0,0,0,0,0,0,0,3.6,2,2017
139,Tyler Wade\wadety01,22,NYY,AL,7,1,1,20,6,3,3,0,0,1,0,-24,0,0,0,0,0,0,0,0,0,-1,2.7,0.86,2017
140,Ben Zobrist\zobribe01,36,CHC,NL,5,0,0,11,4,2,2,0,1,1,-1,-55,-1,0,0,0,0,0,0,0,0,0,3.27,0.8,2017
